"Date","series ","OPEN","HIGH","LOW","PREV. CLOSE","ltp ","Close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Jan-2025","EQ","226.01","227.25","220.00","225.63","222.10","222.79","223.76","246.00","161.30","15,31,617","34,27,09,354.19","24,495"
"01-Jan-2025","EQ","217.00","227.00","215.70","217.13","224.80","225.63","223.01","246.00","161.30","25,31,615","56,45,87,643.00","41,369"
"31-Dec-2024","EQ","210.00","218.90","209.50","213.58","216.59","217.13","216.06","246.00","161.30","12,47,986","26,96,44,783.85","26,066"
"30-Dec-2024","EQ","222.75","223.99","207.00","222.74","210.40","213.58","215.83","246.00","161.30","17,10,256","36,91,28,199.53","28,876"
"27-Dec-2024","EQ","217.91","223.69","216.43","215.96","222.50","222.74","220.97","246.00","161.30","14,59,563","32,25,13,653.02","27,842"
"26-Dec-2024","EQ","216.48","218.80","215.20","216.48","216.05","215.96","216.62","246.00","161.30","4,58,657","9,93,53,620.42","12,728"
"24-Dec-2024","EQ","216.50","218.78","215.21","217.09","216.90","216.48","216.85","246.00","161.30","6,12,476","13,28,16,760.41","13,913"
"23-Dec-2024","EQ","223.00","224.98","216.10","220.95","216.90","217.09","219.54","246.00","161.30","11,83,526","25,98,27,411.11","19,309"
"20-Dec-2024","EQ","230.00","230.89","220.00","228.48","221.00","220.95","223.37","246.00","157.15","12,51,198","27,94,81,710.24","18,695"
"19-Dec-2024","EQ","230.50","231.74","226.91","231.31","228.50","228.48","229.35","246.00","157.15","6,74,268","15,46,40,205.24","13,301"
"18-Dec-2024","EQ","232.50","234.99","226.10","233.87","230.20","231.31","229.29","246.00","157.15","25,06,171","57,46,40,653.85","43,878"
"17-Dec-2024","EQ","236.90","237.50","231.70","236.52","232.80","233.87","234.01","246.00","157.15","8,78,278","20,55,28,557.42","14,782"
"16-Dec-2024","EQ","236.10","239.49","235.00","237.61","235.86","236.52","237.56","246.00","157.15","8,88,960","21,11,80,770.74","17,890"
"13-Dec-2024","EQ","238.95","238.95","232.55","238.06","236.30","237.61","235.66","246.00","154.45","9,52,320","22,44,28,148.50","19,498"
"12-Dec-2024","EQ","240.00","240.15","235.00","238.70","238.20","238.06","237.17","246.00","154.45","7,65,991","18,16,71,991.19","13,559"
"11-Dec-2024","EQ","242.90","243.50","237.96","242.76","238.81","238.70","240.23","246.00","154.45","11,86,142","28,49,43,305.55","12,295"
"10-Dec-2024","EQ","241.53","244.40","238.65","242.24","242.50","242.76","241.87","246.00","154.45","17,20,607","41,61,58,339.41","23,719"
"09-Dec-2024","EQ","243.35","246.00","240.00","241.81","242.00","242.24","242.27","246.00","154.45","14,83,970","35,95,27,493.65","21,300"
"06-Dec-2024","EQ","240.00","244.90","239.10","240.21","241.79","241.81","241.75","245.00","151.85","21,22,801","51,31,96,571.14","36,969"
"05-Dec-2024","EQ","239.47","244.75","237.51","239.46","240.43","240.21","241.38","245.00","151.85","28,23,140","68,14,44,388.68","46,845"
"04-Dec-2024","EQ","237.00","242.50","236.45","238.63","239.48","239.46","240.22","245.00","151.85","39,38,718","94,61,54,709.19","39,819"
"03-Dec-2024","EQ","237.50","241.07","237.03","237.49","238.00","238.63","238.47","245.00","151.85","15,86,917","37,84,30,112.38","22,871"
"02-Dec-2024","EQ","238.00","238.74","234.36","236.56","237.40","237.49","237.02","245.00","151.85","14,50,521","34,38,02,337.31","18,930"
"29-Nov-2024","EQ","239.00","245.00","235.50","238.38","236.95","236.56","240.45","245.00","150.80","78,45,066","1,88,63,15,028.37","62,536"
"28-Nov-2024","EQ","229.90","240.00","228.09","230.05","239.00","238.38","236.69","240.00","150.80","79,30,177","1,87,69,71,177.29","57,243"
"27-Nov-2024","EQ","230.00","230.80","225.40","230.04","230.00","230.05","228.33","239.80","150.80","16,19,453","36,97,72,831.50","20,281"
"26-Nov-2024","EQ","224.10","231.06","221.66","222.45","230.05","230.04","227.81","239.80","150.80","23,04,654","52,50,14,426.67","25,476"
"25-Nov-2024","EQ","216.80","224.20","216.12","212.54","223.40","222.45","221.57","239.80","150.80","23,70,962","52,53,22,242.81","45,314"
"22-Nov-2024","EQ","214.40","216.84","211.90","214.65","212.60","212.54","214.60","239.80","148.25","8,41,983","18,06,85,841.46","17,940"
"21-Nov-2024","EQ","216.88","217.05","211.50","216.88","214.50","214.65","213.97","239.80","148.25","9,03,904","19,34,07,874.56","20,942"
"19-Nov-2024","EQ","214.00","219.90","213.00","212.82","216.67","216.88","217.74","239.80","148.25","13,42,296","29,22,70,384.69","25,886"
"18-Nov-2024","EQ","214.63","216.82","208.82","211.27","212.80","212.82","212.11","239.80","148.25","10,66,872","22,62,97,965.99","30,188"
"14-Nov-2024","EQ","211.70","215.99","209.20","211.51","211.00","211.27","212.44","239.80","148.25","12,62,274","26,81,51,849.92","23,191"
"13-Nov-2024","EQ","220.90","221.01","210.14","222.35","212.24","211.51","214.48","239.80","148.25","16,37,201","35,11,42,088.63","35,055"
"12-Nov-2024","EQ","226.80","231.00","220.00","226.97","220.79","222.35","226.20","239.80","148.25","24,83,384","56,17,43,570.77","51,161"
"11-Nov-2024","EQ","227.80","231.80","225.06","228.23","226.84","226.97","228.05","239.80","148.25","11,51,658","26,26,31,343.67","25,587"
"08-Nov-2024","EQ","232.00","232.05","224.34","231.66","227.00","228.23","227.71","239.80","146.85","19,09,188","43,47,39,270.77","29,460"
"07-Nov-2024","EQ","227.01","239.80","225.10","226.24","231.60","231.66","232.93","239.80","146.85","70,53,099","1,64,28,91,552.52","1,00,562"
"06-Nov-2024","EQ","224.00","227.95","223.17","224.67","226.40","226.24","226.04","232.75","146.85","9,75,224","22,04,40,752.36","22,732"
"05-Nov-2024","EQ","222.50","225.49","221.20","223.14","224.00","224.67","223.62","232.75","146.85","11,47,003","25,64,96,707.91","27,936"
"04-Nov-2024","EQ","227.53","227.53","222.50","227.53","222.93","223.14","224.23","232.75","146.85","11,54,398","25,88,55,837.57","39,107"
"01-Nov-2024","EQ","229.00","229.00","226.71","225.98","226.90","227.53","227.67","232.75","142.10","3,87,329","8,81,81,279.49","7,359"
"31-Oct-2024","EQ","227.13","228.30","223.01","227.13","225.21","225.98","225.38","232.75","142.10","17,75,231","40,01,00,283.91","40,328"
"30-Oct-2024","EQ","223.16","229.53","222.30","221.45","226.82","227.13","227.00","232.75","142.10","41,74,822","94,76,91,287.65","50,543"
"29-Oct-2024","EQ","216.28","224.80","216.28","216.53","221.40","221.45","221.65","232.75","142.10","23,68,135","52,49,06,332.60","50,307"
"28-Oct-2024","EQ","214.55","219.90","214.20","214.55","216.40","216.53","217.36","232.75","142.10","14,12,865","30,70,97,052.32","29,639"
"25-Oct-2024","EQ","220.00","222.74","212.50","219.81","213.90","214.55","216.06","232.75","138.40","20,53,075","44,35,80,739.25","56,259"
"24-Oct-2024","EQ","216.00","220.59","213.36","214.95","219.20","219.81","217.43","232.75","138.40","17,30,789","37,63,30,571.31","31,225"
"23-Oct-2024","EQ","212.90","219.79","210.00","217.46","215.10","214.95","214.75","232.75","138.40","22,03,940","47,32,97,713.47","38,771"
"22-Oct-2024","EQ","221.11","221.95","215.00","223.14","216.70","217.46","218.14","232.75","138.40","30,42,903","66,37,68,851.01","50,327"
"21-Oct-2024","EQ","223.10","228.88","216.10","221.95","221.86","223.14","223.24","232.75","138.40","61,49,173","1,37,27,69,777.85","73,906"
"18-Oct-2024","EQ","212.50","225.90","208.37","216.91","224.00","221.95","217.03","232.75","132.95","75,82,498","1,64,55,97,645.78","82,870"
"17-Oct-2024","EQ","205.95","219.89","200.10","204.28","214.50","216.91","212.60","232.75","132.95","1,44,04,946","3,06,24,44,989.33","1,50,089"
"16-Oct-2024","EQ","203.50","206.60","200.52","203.30","205.00","204.28","203.10","232.75","132.95","10,06,532","20,44,22,022.40","21,419"
"15-Oct-2024","EQ","205.00","205.15","200.01","204.04","203.05","203.30","202.04","232.75","132.95","10,05,478","20,31,44,004.66","31,093"
"14-Oct-2024","EQ","199.10","207.07","197.20","199.04","204.50","204.04","201.85","232.75","132.95","34,24,299","69,11,89,131.92","68,019"
"11-Oct-2024","EQ","198.00","200.59","195.25","196.75","199.00","199.04","198.54","232.75","128.00","11,15,858","22,15,46,372.96","25,020"
"10-Oct-2024","EQ","199.49","200.08","195.89","198.35","197.30","196.75","197.15","232.75","128.00","12,54,581","24,73,35,974.17","35,081"
"09-Oct-2024","EQ","200.00","203.00","196.50","198.28","198.20","198.35","198.47","232.75","128.00","14,88,308","29,53,82,605.93","41,829"
"08-Oct-2024","EQ","197.80","201.29","193.20","199.41","200.30","198.28","197.10","232.75","128.00","20,46,161","40,33,04,130.79","36,995"
"07-Oct-2024","EQ","206.34","210.19","197.10","208.69","199.75","199.41","200.07","232.75","128.00","34,25,973","68,54,31,251.96","63,105"
"04-Oct-2024","EQ","210.08","210.71","206.98","211.08","208.75","208.69","208.48","232.75","128.00","11,34,863","23,65,93,158.03","33,505"
"03-Oct-2024","EQ","212.50","213.59","209.50","214.17","210.31","211.08","211.37","232.75","128.00","8,12,952","17,18,31,189.62","20,329"
"01-Oct-2024","EQ","216.34","216.34","212.38","214.56","214.48","214.17","214.00","232.75","128.00","13,72,956","29,38,09,142.55","29,952"
"30-Sep-2024","EQ","217.30","217.76","212.61","217.21","215.49","214.56","214.58","232.75","128.00","14,19,811","30,46,68,981.65","36,233"
"27-Sep-2024","EQ","218.04","221.90","216.55","217.27","217.50","217.21","219.37","232.75","127.50","11,88,198","26,06,49,839.10","22,529"
"26-Sep-2024","EQ","221.47","222.00","216.50","220.96","218.00","217.27","217.86","232.75","127.50","14,49,643","31,58,16,309.06","15,211"
"25-Sep-2024","EQ","222.40","222.50","218.03","220.78","221.00","220.96","219.81","232.75","127.50","11,65,518","25,61,91,805.85","30,474"
"24-Sep-2024","EQ","221.00","221.82","217.59","219.87","220.10","220.78","220.61","232.75","127.50","22,39,006","49,39,43,783.81","21,962"
"23-Sep-2024","EQ","212.99","220.79","211.10","210.19","219.55","219.87","216.67","232.75","127.50","40,79,958","88,40,03,596.96","44,964"
"20-Sep-2024","EQ","213.00","213.97","209.53","210.87","210.87","210.19","210.47","232.75","127.50","28,25,569","59,47,05,304.77","28,365"
"19-Sep-2024","EQ","212.50","213.29","206.10","211.40","210.90","210.87","209.41","232.75","127.50","13,57,725","28,43,15,015.06","33,091"
"18-Sep-2024","EQ","213.00","214.64","210.10","214.94","210.70","211.40","212.16","232.75","127.50","7,90,934","16,78,05,009.57","19,019"
"17-Sep-2024","EQ","219.21","219.22","213.25","217.37","214.05","214.94","215.21","232.75","127.50","10,22,272","21,99,98,410.12","15,003"
"16-Sep-2024","EQ","218.07","218.79","215.25","217.11","218.00","217.37","217.01","232.75","127.50","7,70,847","16,72,85,144.95","18,250"
"13-Sep-2024","EQ","219.54","220.34","216.43","219.44","217.10","217.11","217.99","232.75","125.00","8,50,880","18,54,84,334.63","15,736"
"12-Sep-2024","EQ","221.80","222.99","217.00","218.76","220.00","219.44","219.21","232.75","125.00","7,69,987","16,87,87,036.97","21,155"
"11-Sep-2024","EQ","226.00","226.00","217.30","223.95","218.10","218.76","220.38","232.75","125.00","10,44,880","23,02,66,265.35","18,607"
"10-Sep-2024","EQ","220.00","224.94","217.50","218.46","223.15","223.95","221.85","232.75","125.00","14,86,747","32,98,41,034.72","29,947"
"09-Sep-2024","EQ","219.15","220.27","212.21","218.54","219.14","218.46","215.75","232.75","125.00","10,52,317","22,70,41,112.25","23,416"
"06-Sep-2024","EQ","220.20","222.61","215.84","219.61","217.40","218.54","219.31","232.75","122.20","7,93,737","17,40,71,137.76","21,009"
"05-Sep-2024","EQ","220.25","224.84","218.70","219.44","220.80","219.61","221.31","232.75","122.20","9,88,798","21,88,31,561.30","17,008"
"04-Sep-2024","EQ","218.00","223.90","216.70","224.75","219.40","219.44","219.87","232.75","122.20","14,80,639","32,55,55,089.68","33,536"
"03-Sep-2024","EQ","224.28","225.99","222.69","223.76","224.51","224.75","224.67","232.75","122.20","4,96,566","11,15,65,806.10","12,543"
"02-Sep-2024","EQ","222.00","225.70","221.11","222.22","223.95","223.76","223.62","232.75","122.20","7,89,205","17,64,83,533.41","16,871"
"30-Aug-2024","EQ","223.37","226.46","221.00","223.37","221.83","222.22","223.92","232.75","118.70","6,53,112","14,62,45,930.56","11,544"
"29-Aug-2024","EQ","222.92","224.69","220.70","222.92","223.30","223.37","222.80","232.75","118.70","8,77,691","19,55,49,598.99","16,365"
"28-Aug-2024","EQ","228.40","228.40","222.22","225.96","222.78","222.92","224.32","232.75","118.70","7,64,895","17,15,84,186.42","14,637"
"27-Aug-2024","EQ","224.63","227.20","222.42","223.53","225.99","225.96","225.20","232.75","118.70","16,34,432","36,80,73,852.57","22,207"
"26-Aug-2024","EQ","227.00","231.50","222.00","222.45","223.50","223.53","224.68","232.75","118.70","38,53,024","86,56,82,874.01","29,737"
"23-Aug-2024","EQ","223.80","225.55","221.00","223.38","222.22","222.45","222.62","232.75","115.60","7,40,750","16,49,03,693.40","30,722"
"22-Aug-2024","EQ","228.90","228.90","222.30","227.92","224.00","223.38","226.07","232.75","115.60","10,38,917","23,48,72,529.99","23,247"
"21-Aug-2024","EQ","221.00","229.48","220.01","220.72","228.50","227.92","225.48","232.75","115.60","24,35,439","54,91,53,225.33","37,245"
"20-Aug-2024","EQ","221.07","223.55","219.00","221.86","221.55","220.72","221.09","232.75","115.60","7,80,206","17,24,97,350.08","19,891"
"19-Aug-2024","EQ","217.00","222.95","216.99","216.99","221.85","221.86","220.53","232.75","115.60","11,73,203","25,87,21,099.67","22,282"
"16-Aug-2024","EQ","213.50","217.79","213.10","213.32","217.00","216.99","216.28","232.75","115.60","10,63,652","23,00,46,012.18","21,912"
"14-Aug-2024","EQ","215.15","215.90","212.24","215.05","213.53","213.32","213.48","232.75","115.60","6,50,650","13,89,00,254.18","21,809"
"13-Aug-2024","EQ","213.85","217.35","210.87","213.36","215.55","215.05","213.88","232.75","115.60","11,67,866","24,97,81,154.06","26,450"
"12-Aug-2024","EQ","214.00","214.60","210.46","214.93","213.72","213.36","212.54","232.75","115.60","8,72,208","18,53,75,347.62","21,043"
"09-Aug-2024","EQ","212.90","216.00","211.71","211.05","214.90","214.93","214.67","232.75","115.60","8,78,017","18,84,87,836.57","17,907"
"08-Aug-2024","EQ","215.80","216.68","210.56","215.01","212.50","211.05","212.26","232.75","115.60","9,43,466","20,02,56,415.00","25,643"
"07-Aug-2024","EQ","210.95","216.54","208.07","207.06","214.49","215.01","211.66","232.75","115.60","14,33,758","30,34,70,301.84","27,391"
"06-Aug-2024","EQ","211.00","215.35","205.56","211.89","207.50","207.06","211.63","232.75","115.60","24,63,746","52,14,02,064.94","35,147"
"05-Aug-2024","EQ","211.00","213.00","207.01","219.27","212.15","211.89","210.01","232.75","115.60","34,69,809","72,87,06,945.86","45,440"
"02-Aug-2024","EQ","223.00","224.00","217.85","225.75","218.96","219.27","220.18","232.75","115.60","14,35,866","31,61,43,280.40","28,672"
"01-Aug-2024","EQ","227.50","229.37","223.37","230.78","225.98","225.75","225.91","232.75","115.60","12,82,675","28,97,74,142.93","20,808"
"31-Jul-2024","EQ","232.75","232.75","226.85","231.81","230.90","230.78","230.17","232.75","115.60","25,78,060","59,33,83,921.75","24,629"
"30-Jul-2024","EQ","228.50","232.65","226.56","228.50","231.65","231.81","230.15","232.65","115.60","30,78,139","70,84,24,501.45","28,029"
"29-Jul-2024","EQ","224.80","229.81","223.50","222.52","228.40","228.50","227.35","229.81","115.60","47,72,513","1,08,50,28,333.02","39,215"
"26-Jul-2024","EQ","216.98","229.34","215.24","215.99","222.33","222.52","223.43","229.34","115.60","87,93,486","1,96,46,94,732.59","78,671"
"25-Jul-2024","EQ","212.00","216.95","210.40","214.23","215.90","215.99","214.19","219.90","115.60","22,65,650","48,52,69,683.93","28,318"
"24-Jul-2024","EQ","205.30","215.30","205.30","208.13","214.00","214.23","213.25","219.90","115.60","24,01,186","51,20,62,401.05","37,040"
"23-Jul-2024","EQ","211.58","211.80","203.30","211.58","208.60","208.13","208.20","219.90","115.60","19,31,395","40,21,18,931.19","33,177"
"22-Jul-2024","EQ","210.14","214.00","206.10","210.13","210.70","211.58","211.37","219.90","115.60","24,31,003","51,38,35,427.34","33,875"
"19-Jul-2024","EQ","208.05","214.80","207.75","206.31","209.45","210.13","211.82","219.90","115.60","83,97,138","1,77,87,08,628.74","95,767"
"18-Jul-2024","EQ","202.85","207.90","198.41","202.05","207.50","206.31","204.92","219.90","115.60","54,22,252","1,11,11,17,641.59","64,018"
"16-Jul-2024","EQ","201.80","202.75","198.54","199.93","202.01","202.05","201.36","219.90","115.60","7,86,264","15,83,20,872.24","18,620"
"15-Jul-2024","EQ","200.20","202.30","196.15","199.56","200.50","199.93","199.09","219.90","115.60","14,59,078","29,04,80,997.71","27,722"
"12-Jul-2024","EQ","195.40","201.70","193.01","195.35","199.32","199.56","199.05","219.90","115.60","24,08,662","47,94,47,350.88","31,374"
"11-Jul-2024","EQ","192.45","196.75","191.20","191.82","195.76","195.35","193.69","219.90","115.60","18,12,198","35,09,97,387.31","28,175"
"10-Jul-2024","EQ","197.80","197.90","191.15","195.72","191.50","191.82","193.15","219.90","115.60","16,63,826","32,13,69,451.63","33,345"
"09-Jul-2024","EQ","200.90","204.11","194.01","200.59","195.57","195.72","197.77","219.90","115.60","36,00,186","71,20,08,109.42","69,450"
"08-Jul-2024","EQ","203.08","204.50","199.20","202.77","200.72","200.59","201.73","219.90","115.60","14,80,708","29,87,00,841.63","23,889"
"05-Jul-2024","EQ","205.00","205.70","201.86","205.77","203.08","202.77","203.04","219.90","115.60","10,19,923","20,70,83,063.37","18,470"
"04-Jul-2024","EQ","205.00","206.50","203.40","206.17","205.51","205.77","205.20","219.90","115.60","10,08,134","20,68,68,778.33","20,042"
"03-Jul-2024","EQ","205.15","208.10","202.31","204.79","206.16","206.17","206.24","219.90","115.60","10,98,421","22,65,41,718.04","25,064"